"MSN","YYYYMM","Value","Column_Order","Description","Unit"
"FFPRBUS","194913","28.740479","1","Total Fossil Fuels Production","Quadrillion Btu"
"FFPRBUS","195013","32.553205","1","Total Fossil Fuels Production","Quadrillion Btu"
"FFPRBUS","195113","35.782118","1","Total Fossil Fuels Production","Quadrillion Btu"
"FFPRBUS","195213","34.964662","1","Total Fossil Fuels Production","Quadrillion Btu"
"FFPRBUS","195313","35.338361","1","Total Fossil Fuels Production","Quadrillion Btu"
"FFPRBUS","195413","33.752228","1","Total Fossil Fuels Production","Quadrillion Btu"
"FFPRBUS","195513","37.346797","1","Total Fossil Fuels Production","Quadrillion Btu"
"FFPRBUS","195613","39.75301","1","Total Fossil Fuels Production","Quadrillion Btu"
"FFPRBUS","195713","40.11844","1","Total Fossil Fuels Production","Quadrillion Btu"
"FFPRBUS","195813","37.205122","1","Total Fossil Fuels Production","Quadrillion Btu"
"FFPRBUS","195913","39.032065","1","Total Fossil Fuels Production","Quadrillion Btu"
"FFPRBUS","196013","39.854831","1","Total Fossil Fuels Production","Quadrillion Btu"
"FFPRBUS","196113","40.28869","1","Total Fossil Fuels Production","Quadrillion Btu"
"FFPRBUS","196213","41.709896","1","Total Fossil Fuels Production","Quadrillion Btu"
"FFPRBUS","196313","44.014731","1","Total Fossil Fuels Production","Quadrillion Btu"
"FFPRBUS","196413","45.76318","1","Total Fossil Fuels Production","Quadrillion Btu"
"FFPRBUS","196513","47.205318","1","Total Fossil Fuels Production","Quadrillion Btu"
"FFPRBUS","196613","50.010529","1","Total Fossil Fuels Production","Quadrillion Btu"
"FFPRBUS","196713","52.568322","1","Total Fossil Fuels Production","Quadrillion Btu"
"FFPRBUS","196813","54.274269","1","Total Fossil Fuels Production","Quadrillion Btu"
"FFPRBUS","196913","56.251915","1","Total Fossil Fuels Production","Quadrillion Btu"
"FFPRBUS","197013","59.152139","1","Total Fossil Fuels Production","Quadrillion Btu"
"FFPRBUS","197113","58.01067","1","Total Fossil Fuels Production","Quadrillion Btu"
"FFPRBUS","197213","58.904079","1","Total Fossil Fuels Production","Quadrillion Btu"
"FFPRBUS","197301","4.932632","1","Total Fossil Fuels Production","Quadrillion Btu"
"FFPRBUS","197302","4.729582","1","Total Fossil Fuels Production","Quadrillion Btu"
"FFPRBUS","197303","4.946902","1","Total Fossil Fuels Production","Quadrillion Btu"
"FFPRBUS","197304","4.716271","1","Total Fossil Fuels Production","Quadrillion Btu"
"FFPRBUS","197305","4.956995","1","Total Fossil Fuels Production","Quadrillion Btu"
"FFPRBUS","197306","4.716096","1","Total Fossil Fuels Production","Quadrillion Btu"
"FFPRBUS","197307","4.748276","1","Total Fossil Fuels Production","Quadrillion Btu"
"FFPRBUS","197308","5.041997","1","Total Fossil Fuels Production","Quadrillion Btu"
"FFPRBUS","197309","4.731504","1","Total Fossil Fuels Production","Quadrillion Btu"
"FFPRBUS","197310","4.998321","1","Total Fossil Fuels Production","Quadrillion Btu"
"FFPRBUS","197311","4.810504","1","Total Fossil Fuels Production","Quadrillion Btu"
"FFPRBUS","197312","4.880197","1","Total Fossil Fuels Production","Quadrillion Btu"
"FFPRBUS","197313","58.207232","1","Total Fossil Fuels Production","Quadrillion Btu"
"FFPRBUS","197401","4.961042","1","Total Fossil Fuels Production","Quadrillion Btu"
"FFPRBUS","197402","4.569843","1","Total Fossil Fuels Production","Quadrillion Btu"
"FFPRBUS","197403","4.881263","1","Total Fossil Fuels Production","Quadrillion Btu"
"FFPRBUS","197404","4.775157","1","Total Fossil Fuels Production","Quadrillion Btu"
"FFPRBUS","197405","4.966595","1","Total Fossil Fuels Production","Quadrillion Btu"
"FFPRBUS","197406","4.557055","1","Total Fossil Fuels Production","Quadrillion Btu"
"FFPRBUS","197407","4.716243","1","Total Fossil Fuels Production","Quadrillion Btu"
"FFPRBUS","197408","4.736135","1","Total Fossil Fuels Production","Quadrillion Btu"
"FFPRBUS","197409","4.614156","1","Total Fossil Fuels Production","Quadrillion Btu"
"FFPRBUS","197410","4.900053","1","Total Fossil Fuels Production","Quadrillion Btu"
"FFPRBUS","197411","4.181238","1","Total Fossil Fuels Production","Quadrillion Btu"
"FFPRBUS","197412","4.435595","1","Total Fossil Fuels Production","Quadrillion Btu"
