"MSN","YYYYMM","Value","Column_Order","Description","Unit"
"CLICEUS","197301","33.48","1","Coal Industrial Sector CO2 Emissions","Million Metric Tons of Carbon Dioxide"
"CLICEUS","197302","30.834","1","Coal Industrial Sector CO2 Emissions","Million Metric Tons of Carbon Dioxide"
"CLICEUS","197303","31.625","1","Coal Industrial Sector CO2 Emissions","Million Metric Tons of Carbon Dioxide"
"CLICEUS","197304","31.119","1","Coal Industrial Sector CO2 Emissions","Million Metric Tons of Carbon Dioxide"
"CLICEUS","197305","31.643","1","Coal Industrial Sector CO2 Emissions","Million Metric Tons of Carbon Dioxide"
"CLICEUS","197306","30.006","1","Coal Industrial Sector CO2 Emissions","Million Metric Tons of Carbon Dioxide"
"CLICEUS","197307","29.437","1","Coal Industrial Sector CO2 Emissions","Million Metric Tons of Carbon Dioxide"
"CLICEUS","197308","29.03","1","Coal Industrial Sector CO2 Emissions","Million Metric Tons of Carbon Dioxide"
"CLICEUS","197309","28.177","1","Coal Industrial Sector CO2 Emissions","Million Metric Tons of Carbon Dioxide"
"CLICEUS","197310","31.043","1","Coal Industrial Sector CO2 Emissions","Million Metric Tons of Carbon Dioxide"
"CLICEUS","197311","31.927","1","Coal Industrial Sector CO2 Emissions","Million Metric Tons of Carbon Dioxide"
"CLICEUS","197312","35.087","1","Coal Industrial Sector CO2 Emissions","Million Metric Tons of Carbon Dioxide"
"CLICEUS","197313","373.407","1","Coal Industrial Sector CO2 Emissions","Million Metric Tons of Carbon Dioxide"
"CLICEUS","197401","33.089","1","Coal Industrial Sector CO2 Emissions","Million Metric Tons of Carbon Dioxide"
"CLICEUS","197402","31.043","1","Coal Industrial Sector CO2 Emissions","Million Metric Tons of Carbon Dioxide"
"CLICEUS","197403","31.389","1","Coal Industrial Sector CO2 Emissions","Million Metric Tons of Carbon Dioxide"
"CLICEUS","197404","30.999","1","Coal Industrial Sector CO2 Emissions","Million Metric Tons of Carbon Dioxide"
"CLICEUS","197405","30.153","1","Coal Industrial Sector CO2 Emissions","Million Metric Tons of Carbon Dioxide"
"CLICEUS","197406","28.719","1","Coal Industrial Sector CO2 Emissions","Million Metric Tons of Carbon Dioxide"
"CLICEUS","197407","28.504","1","Coal Industrial Sector CO2 Emissions","Million Metric Tons of Carbon Dioxide"
"CLICEUS","197408","29.38","1","Coal Industrial Sector CO2 Emissions","Million Metric Tons of Carbon Dioxide"
"CLICEUS","197409","28.638","1","Coal Industrial Sector CO2 Emissions","Million Metric Tons of Carbon Dioxide"
"CLICEUS","197410","30.536","1","Coal Industrial Sector CO2 Emissions","Million Metric Tons of Carbon Dioxide"
"CLICEUS","197411","27.243","1","Coal Industrial Sector CO2 Emissions","Million Metric Tons of Carbon Dioxide"
"CLICEUS","197412","26.765","1","Coal Industrial Sector CO2 Emissions","Million Metric Tons of Carbon Dioxide"
"CLICEUS","197413","356.457","1","Coal Industrial Sector CO2 Emissions","Million Metric Tons of Carbon Dioxide"
"CLICEUS","197501","30.095","1","Coal Industrial Sector CO2 Emissions","Million Metric Tons of Carbon Dioxide"
"CLICEUS","197502","30.164","1","Coal Industrial Sector CO2 Emissions","Million Metric Tons of Carbon Dioxide"
"CLICEUS","197503","32.122","1","Coal Industrial Sector CO2 Emissions","Million Metric Tons of Carbon Dioxide"
"CLICEUS","197504","30.212","1","Coal Industrial Sector CO2 Emissions","Million Metric Tons of Carbon Dioxide"
"CLICEUS","197505","28.474","1","Coal Industrial Sector CO2 Emissions","Million Metric Tons of Carbon Dioxide"
"CLICEUS","197506","26.461","1","Coal Industrial Sector CO2 Emissions","Million Metric Tons of Carbon Dioxide"
"CLICEUS","197507","25.16","1","Coal Industrial Sector CO2 Emissions","Million Metric Tons of Carbon Dioxide"
"CLICEUS","197508","25.526","1","Coal Industrial Sector CO2 Emissions","Million Metric Tons of Carbon Dioxide"
"CLICEUS","197509","25.714","1","Coal Industrial Sector CO2 Emissions","Million Metric Tons of Carbon Dioxide"
"CLICEUS","197510","26.734","1","Coal Industrial Sector CO2 Emissions","Million Metric Tons of Carbon Dioxide"
"CLICEUS","197511","27.766","1","Coal Industrial Sector CO2 Emissions","Million Metric Tons of Carbon Dioxide"
"CLICEUS","197512","29.313","1","Coal Industrial Sector CO2 Emissions","Million Metric Tons of Carbon Dioxide"
"CLICEUS","197513","337.741","1","Coal Industrial Sector CO2 Emissions","Million Metric Tons of Carbon Dioxide"
