"MSN","YYYYMM","Value","Column_Order","Description","Unit"
"NGWPUUS","194913","0.06","1","Natural Gas Price, Wellhead","Dollars per Thousand Cubic Feet"
"NGWPUUS","195013","0.07","1","Natural Gas Price, Wellhead","Dollars per Thousand Cubic Feet"
"NGWPUUS","195113","0.07","1","Natural Gas Price, Wellhead","Dollars per Thousand Cubic Feet"
"NGWPUUS","195213","0.08","1","Natural Gas Price, Wellhead","Dollars per Thousand Cubic Feet"
"NGWPUUS","195313","0.09","1","Natural Gas Price, Wellhead","Dollars per Thousand Cubic Feet"
"NGWPUUS","195413","0.1","1","Natural Gas Price, Wellhead","Dollars per Thousand Cubic Feet"
"NGWPUUS","195513","0.1","1","Natural Gas Price, Wellhead","Dollars per Thousand Cubic Feet"
"NGWPUUS","195613","0.11","1","Natural Gas Price, Wellhead","Dollars per Thousand Cubic Feet"
"NGWPUUS","195713","0.11","1","Natural Gas Price, Wellhead","Dollars per Thousand Cubic Feet"
"NGWPUUS","195813","0.12","1","Natural Gas Price, Wellhead","Dollars per Thousand Cubic Feet"
"NGWPUUS","195913","0.13","1","Natural Gas Price, Wellhead","Dollars per Thousand Cubic Feet"
"NGWPUUS","196013","0.14","1","Natural Gas Price, Wellhead","Dollars per Thousand Cubic Feet"
"NGWPUUS","196113","0.15","1","Natural Gas Price, Wellhead","Dollars per Thousand Cubic Feet"
"NGWPUUS","196213","0.16","1","Natural Gas Price, Wellhead","Dollars per Thousand Cubic Feet"
"NGWPUUS","196313","0.16","1","Natural Gas Price, Wellhead","Dollars per Thousand Cubic Feet"
"NGWPUUS","196413","0.15","1","Natural Gas Price, Wellhead","Dollars per Thousand Cubic Feet"
"NGWPUUS","196513","0.16","1","Natural Gas Price, Wellhead","Dollars per Thousand Cubic Feet"
"NGWPUUS","196613","0.16","1","Natural Gas Price, Wellhead","Dollars per Thousand Cubic Feet"
"NGWPUUS","196713","0.16","1","Natural Gas Price, Wellhead","Dollars per Thousand Cubic Feet"
"NGWPUUS","196813","0.16","1","Natural Gas Price, Wellhead","Dollars per Thousand Cubic Feet"
"NGWPUUS","196913","0.17","1","Natural Gas Price, Wellhead","Dollars per Thousand Cubic Feet"
"NGWPUUS","197013","0.17","1","Natural Gas Price, Wellhead","Dollars per Thousand Cubic Feet"
"NGWPUUS","197113","0.18","1","Natural Gas Price, Wellhead","Dollars per Thousand Cubic Feet"
