California Energy Consumption Estimates 2020
https://www.eia.gov/state/?sid=CA
14:24:51 GMT-0700 (Pacific Daylight Time)
Source: Energy Information Administration, State Energy Data System
Category,California Energy Consumption Estimates Trillion Btu
Coal,28
Natural Gas,2151.1
Motor Gasoline excl. Ethanol,1357.8
Distillate Fuel Oil,528
Jet Fuel,337.7
HGL,58.2
Residual Fuel,126.1
Other Petroleum,299.6
Nuclear Electric Power,169.8
Hydroelectric Power,187.5
Biomass,295.2
Other Renewables,657.7
Net Electricity Imports,11
Net Interstate Flow of Electricity,757
